stock_symbol,date,opening,closing,low,high,volume,market_cap,p/e
GSXN,1/24/2014,0.011,0.017,0.01,0.018,1974588,2.9M,N/A
GST,1/24/2014,6.60,6.25,6.06,6.63,1407372,358.5M,10.46
GNE,1/24/2014,9.82,9.95,9.8101,10.13,97759,210.9M,N/A
GGLR,1/24/2014,0.0127,0.0103,0.01,0.0127,49750,1.4M,N/A
GMXRQ,1/24/2014,0.0899,0.0751,0.0721,0.0899,47629,553K,N/A
GMXRQ,1/24/2014,0.0899,0.0751,0.0721,0.0899,47629,553K,N/A
GDP,1/24/2014,17.02,16.87,16.0998,17.02,1454412,619.9M,N/A
GTE,1/24/2014,7.50,7.34,7.31,7.535,815355,2.078B,11.81
SLCO,1/24/2014,0.18,0.17,0.17,0.18,5275,7.7M,N/A
GRPR,1/24/2014,0.0002,0.0002,0.0001,0.0002,250600,274K,N/A
GPOR,1/24/2014,58.06,57.00,56.44,58.22,1744500,4.422B,28.77
HNR,1/24/2014,4.63,4.45,4.40,4.63,652007,179.8M,17.58
HPGS,1/24/2014,0.0031,0.0031,0.003,0.0031,409580,1.1M,N/A
HPGS,1/24/2014,0.0031,0.0031,0.003,0.0031,409580,1.1M,N/A
HUSA,1/24/2014,0.3199,0.355,0.3106,0.364,1288878,18.5M,N/A
IPMN,1/22/2014,N/A,0.03,N/A,N/A,0,1.2M,N/A
IPRC,1/24/2014,0.0364,0.036,0.032,0.045,416701,1.6M,N/A
ISRL, Inc.,1/24/2014,123.87,119.77,120.01,120.01,802,326.1M
RCAR, INC,1/23/2014,N/A,N/A,N/A,1.48,70,93.4M
JONE, Inc,1/24/2014,15.70,15.51,15.40,15.57,266298,195.0M
KOS,1/24/2014,10.47,10.54,10.33,10.58,1153079,3.981B,N/A
LPI,1/24/2014,25.86,25.31,24.99,26.00,1176770,3.561B,55.12
LOGL,1/24/2014,0.06,0.065,0.0599,0.069,363593,6.7M,N/A
LNCO, LLC,1/24/2014,33.00,32.97,32.12,32.46,1800999,1.129B
LINE, LLC,1/24/2014,33.73,33.50,32.71,33.04,1785589,7.770B
LPRIQ,1/24/2014,0.0321,0.0321,0.0321,0.035,462213,2.8M,N/A
LRE, L.P. ,1/24/2014,17.9199,17.90,17.5501,17.69,109194,462.9M
LEI, Inc,1/24/2014,1.14,1.12,1.07,1.08,82177,32.3M
MPET,1/24/2014,1.07,1.07,1.05,1.09,137102,48.5M,N/A
MRO,1/24/2014,33.51,33.00,32.97,33.53,4796426,22.989B,14.10
HUGE,1/24/2014,0.40,0.4001,0.40,0.4001,1509,24.2M,N/A
MTDR,1/24/2014,19.75,19.48,19.22,19.98,560249,1.279B,131.99
MEMP,1/24/2014,22.30,22.30,22.111,22.43,485891,1.366B,310.56
MXC,1/24/2014,6.87,6.76,6.76,7.0899,3245,13.8M,176.75
MCEP,1/24/2014,23.17,23.11,23.01,23.31,34664,445.7M,17.89
MEP,1/24/2014,20.52,20.75,20.50,21.1725,190080,N/A,N/A
MPO,1/24/2014,6.03,5.98,5.7101,6.08,711945,393.6M,N/A
MILL,1/24/2014,7.83,7.67,7.6209,7.86,395148,341.5M,N/A
MKIT,10/30/2013,N/A,0.335,N/A,N/A,0,21.1M,N/A
MKIT,10/30/2013,N/A,0.335,N/A,N/A,0,21.1M,N/A
NFG,1/24/2014,72.83,72.22,71.99,72.83,317981,6.044B,23.77
GBR,1/24/2014,1.8199,1.76,1.74,1.82,10300,3.4M,9.24
NSLP,1/24/2014,24.54,24.52,24.40,24.83,30322,279.4M,381.88
NFX,1/24/2014,25.18,24.71,24.23,25.20,3370342,3.289B,N/A
NGMC,1/24/2014,0.0117,0.012,0.0117,0.014,65950,1.5M,N/A
NBL,1/24/2014,64.67,62.97,62.80,64.70,3270510,22.606B,21.41
NORX,1/24/2014,0.295,0.25,0.15,0.295,73486,9.6M,N/A
NAMG,1/24/2014,0.2725,0.26,0.25,0.2825,293827,15.8M,N/A
NSRS,1/24/2014,0.0042,0.0042,0.004,0.0042,327400,2.9M,N/A
NSRS,1/24/2014,0.0042,0.0042,0.004,0.0042,327400,2.9M,N/A
NYTE,1/24/2014,0.053,0.03,0.03,0.053,25000,802K,N/A
OAKR,12/5/2013,N/A,1.90,N/A,N/A,0,7.7M,N/A
OAS,1/24/2014,43.34,41.63,41.57,43.54,2539211,3.901B,18.75
OXY,1/24/2014,88.74,88.00,87.59,88.83,4756051,70.933B,15.71
PBEC,1/8/2014,N/A,0.001,N/A,N/A,0,41K,N/A
ROYT,1/24/2014,13.35,13.27,13.17,13.42,236670,512.0M,7.43
PHX,1/24/2014,38.67,38.84,38.21,39.44,18441,319.7M,23.35
PDCE, Inc.,1/24/2014,49.37,49.16,46.65,46.97,1223481,1.644B
PVA,1/24/2014,11.78,12.02,11.62,12.25,2616263,782.1M,N/A
PBT,1/24/2014,13.14,13.04,12.9801,13.16,84071,607.8M,15.68
PEII,1/24/2014,0.0029,0.0028,0.0025,0.003,14743460,990K,N/A
PEII,1/24/2014,0.0029,0.0028,0.0025,0.003,14743460,990K,N/A
PEII,1/24/2014,0.0029,0.0028,0.0025,0.003,14743460,990K,N/A
PQ,1/24/2014,4.20,4.14,4.04,4.30,720402,267.0M,N/A
PXD,1/24/2014,177.82,172.73,172.73,178.36,1588205,23.952B,43.85
PPTO,1/23/2014,N/A,0.0032,N/A,N/A,0,270K,N/A
PNRG,1/24/2014,53.45,54.30,53.45,54.39,420,130.6M,10.95
PSSS,1/15/2014,N/A,0.23,N/A,N/A,0,2.2M,N/A
PDO,1/24/2014,5.5399,5.46,5.46,5.58,8890,25.6M,N/A
QRE, LP Com,1/24/2014,17.85,17.74,17.65,17.70,212640,1.146B
QEGY,1/24/2014,0.04,0.04,0.04,0.04,1000,282K,N/A
KWK,1/24/2014,3.19,3.22,3.065,3.28,3764970,551.3M,N/A
RNCH,1/24/2014,0.013,0.0165,0.013,0.0165,54190,2.0M,N/A
RRC,1/24/2014,86.12,86.15,85.01,87.10,2274229,13.772B,101.14
RDMP,1/25/2014,N/A,0.505,N/A,N/A,20,67.7M,N/A
RCAR, INC,1/23/2014,N/A,N/A,N/A,1.48,70,93.4M
RSRV,1/22/2014,N/A,420.00,N/A,N/A,0,66.8M,11.07
REN,1/24/2014,8.68,8.63,8.39,8.79,464211,631.0M,337.69
